Type,Session Code,Session Name,ActivityID,Scenario,Action/ Description
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0003,<scenario/activity here>,<description/notes here>
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0004,<scenario/activity here>,<description/notes here>
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0005,<scenario/activity here>,<description/notes here>
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0006,<scenario/activity here>,<description/notes here>
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0007,<scenario/activity here>,<description/notes here>
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0008,<scenario/activity here>,<description/notes here>
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0009,<scenario/activity here>,<description/notes here>
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0010,<scenario/activity here>,<description/notes here>
EUT,EUT049,R2R: Statement of Account & Balance Confirmation,EUT049_S0011,<scenario/activity here>,<description/notes here>
EUT,EUT050,LILO: Lease In Contract Creation & Modification,EUT050_S0001,<scenario/activity here>,<description/notes here>
EUT,EUT050,LILO: Lease In Contract Creation & Modification,EUT050_S0002,<scenario/activity here>,<description/notes here>
EUT,EUT050,LILO: Lease In Contract Creation & Modification,EUT050_S0003,<scenario/activity here>,<description/notes here>
EUT,EUT050,LILO: Lease In Contract Creation & Modification,EUT050_S0004,<scenario/activity here>,<description/notes here>
EUT,EUT050,LILO: Lease In Contract Creation & Modification,EUT050_S0005,<scenario/activity here>,<description/notes here>
EUT,EUT050,LILO: Lease In Contract Creation & Modification,EUT050_S0006,<scenario/activity here>,<description/notes here>
EUT,EUT050,LILO: Lease In Contract Creation & Modification,EUT050_S0007,<scenario/activity here>,<description/notes here>
EUT,EUT050,LILO: Lease In Contract Creation & Modification,EUT050_S0008,<scenario/activity here>,<description/notes here>
EUT,EUT051,LILO: Lease Out Contract Creation & Modification,EUT051_S0001,<scenario/activity here>,<description/notes here>
EUT,EUT051,LILO: Lease Out Contract Creation & Modification,EUT051_S0002,<scenario/activity here>,<description/notes here>
EUT,EUT051,LILO: Lease Out Contract Creation & Modification,EUT051_S0003,<scenario/activity here>,<description/notes here>
EUT,EUT051,LILO: Lease Out Contract Creation & Modification,EUT051_S0004,<scenario/activity here>,<description/notes here>
EUT,EUT051,LILO: Lease Out Contract Creation & Modification,EUT051_S0005,<scenario/activity here>,<description/notes here>
EUT,EUT051,LILO: Lease Out Contract Creation & Modification,EUT051_S0006,<scenario/activity here>,<description/notes here>
EUT,EUT051,LILO: Lease Out Contract Creation & Modification,EUT051_S0007,<scenario/activity here>,<description/notes here>
EUT,EUT051,LILO: Lease Out Contract Creation & Modification,EUT051_S0008,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0001,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0002,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0003,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0004,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0005,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0006,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0007,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0008,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0009,<scenario/activity here>,<description/notes here>
EUT,EUT052,R2R: Tax,EUT052_S0010,<scenario/activity here>,<description/notes here>
EUT,EUT054,R2R: Rental Billing,EUT054_S0001,<scenario/activity here>,<description/notes here>
EUT,EUT054,R2R: Rental Billing,EUT054_S0002,<scenario/activity here>,<description/notes here>
EUT,EUT054,R2R: Rental Billing,EUT054_S0003,<scenario/activity here>,<description/notes here>
EUT,EUT054,R2R: Rental Billing,EUT054_S0004,<scenario/activity here>,<description/notes here>
EUT,EUT054,R2R: Rental Billing,EUT054_S0005,<scenario/activity here>,<description/notes here>
EUT,EUT054,R2R: Rental Billing,EUT054_S0006,<scenario/activity here>,<description/notes here>
EUT,EUT054,R2R: Rental Billing,EUT054_S0007,<scenario/activity here>,<description/notes here>
EUT,EUT055,R2R: Valuation Posting,EUT055_S0001,<scenario/activity here>,<description/notes here>
EUT,EUT055,R2R: Valuation Posting,EUT055_S0002,<scenario/activity here>,<description/notes here>
EUT,EUT055,R2R: Valuation Posting,EUT055_S0003,<scenario/activity here>,<description/notes here>
EUT,EUT055,R2R: Valuation Posting,EUT055_S0004,<scenario/activity here>,<description/notes here>
EUT,EUT055,R2R: Valuation Posting,EUT055_S0005,<scenario/activity here>,<description/notes here>
EUT,EUT055,R2R: Valuation Posting,EUT055_S0006,<scenario/activity here>,<description/notes here>
EUT,EUT055,R2R: Valuation Posting,EUT055_S0007,<scenario/activity here>,<description/notes here>
EUT,EUT055,R2R: Valuation Posting,EUT055_S0008,<scenario/activity here>,<description/notes here>
EUT,EUT056,R2R: Late Payment Charge,EUT056_S0001,<scenario/activity here>,<description/notes here>
EUT,EUT056,R2R: Late Payment Charge,EUT056_S0002,<scenario/activity here>,<description/notes here>
EUT,EUT056,R2R: Late Payment Charge,EUT056_S0003,<scenario/activity here>,<description/notes here>
EUT,EUT056,R2R: Late Payment Charge,EUT056_S0004,<scenario/activity here>,<description/notes here>
EUT,EUT056,R2R: Late Payment Charge,EUT056_S0005,<scenario/activity here>,<description/notes here>
EUT,EUT056,R2R: Late Payment Charge,EUT056_S0006,<scenario/activity here>,<description/notes here>
EUT,EUT056,R2R: Late Payment Charge,EUT056_S0007,<scenario/activity here>,<description/notes here>
